match_no,team_1,team_2,batsmen,wicket_status,R,B,M,fours,sixes,SR,special_role,dismissal_mode,bowler_name,fielder,is_fielder_involved,match_date
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,b Kulkarni,27.0,26.0,28.0,4.0,1.0,103.84,normal player,bowled,Kulkarni,no fielder,0,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,V Kohli,c & b Kulkarni,12.0,18.0,35.0,0.0,0.0,66.66,captain,caught,Kulkarni,Kulkarni,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,AB de Villiers,run out (Binny/Faulkner),66.0,38.0,59.0,4.0,4.0,173.68,normal player,run out,no bowler,no fielder,0,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,Mandeep Singh,not out,54.0,34.0,56.0,7.0,2.0,158.82,normal player,not out,no bowler,no fielder,0,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,KD Karthik,c Rahane b Morris,8.0,3.0,6.0,0.0,1.0,266.66,wicket keeper,caught,Morris,Rahane,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,SN Khan,not out,1.0,1.0,2.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,AM Rahane,c de Villiers b Chahal,42.0,39.0,70.0,4.0,0.0,107.69,normal player,caught,Chahal,de Villiers,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,SR Watson,c †Karthik b Aravind,10.0,5.0,8.0,2.0,0.0,200.0,normal player,caught,Aravind,†Karthik,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,SV Samson,c †Karthik b Patel,5.0,8.0,13.0,0.0,0.0,62.5,wicket keeper,caught,Patel,†Karthik,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,SPD Smith,c de Villiers b Wiese,12.0,13.0,16.0,1.0,0.0,92.3,captain,caught,Wiese,de Villiers,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,KK Nair,c †Karthik b Patel,12.0,13.0,18.0,2.0,0.0,92.3,normal player,caught,Patel,†Karthik,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,DJ Hooda,c Starc b Wiese,11.0,14.0,27.0,0.0,0.0,78.57,normal player,caught,Wiese,b Wiese,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,JP Faulkner,c & b Aravind,4.0,4.0,5.0,1.0,0.0,100.0,normal player,caught,Aravind,Aravind,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,STR Binny,run out (Chahal/†Karthik),0.0,1.0,1.0,0.0,0.0,0.0,normal player,run out,no bowler,no fielder,0,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,CH Morris,c Chahal b Starc,0.0,3.0,5.0,0.0,0.0,0.0,normal player,caught,Starc,Chahal,1,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,Ankit Sharma,not out,7.0,5.0,12.0,1.0,0.0,140.0,normal player,not out,no bowler,no fielder,0,2015-05-20
Eliminator (N),Royal Challengers Bangalore,Rajasthan Royals,DS Kulkarni,b Chahal,3.0,9.0,9.0,0.0,0.0,33.33,normal player,bowled,Chahal,no fielder,0,2015-05-20
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,c & b Raina,41.0,43.0,66.0,2.0,3.0,95.34,normal player,caught,Raina,Raina,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,V Kohli,c Sharma b Nehra,12.0,9.0,17.0,1.0,1.0,133.33,captain,caught,Nehra,Sharma,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,AB de Villiers,lbw b Nehra,1.0,3.0,3.0,0.0,0.0,33.33,normal player,lbw,Nehra,no fielder,0,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,Mandeep Singh,c Hussey b Ashwin,4.0,7.0,10.0,0.0,0.0,57.14,normal player,caught,Ashwin,Hussey,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,KD Karthik,c Sharma b Nehra,28.0,26.0,45.0,4.0,0.0,107.69,wicket keeper,caught,Nehra,Sharma,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,SN Khan,c Negi b Bravo,31.0,21.0,32.0,4.0,0.0,147.61,normal player,caught,Bravo,Negi,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,D Wiese,c Bravo b Sharma,12.0,7.0,10.0,0.0,1.0,171.42,normal player,caught,Sharma,Bravo,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,HV Patel,run out (†Dhoni),2.0,2.0,7.0,0.0,0.0,100.0,normal player,run out,no bowler,no fielder,0,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,MA Starc,not out,1.0,1.0,2.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,S Aravind,not out,0.0,1.0,1.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,DR Smith,c Starc b Aravind,17.0,12.0,13.0,3.0,0.0,141.66,normal player,caught,Aravind,b Aravind,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,MEK Hussey,c Patel b Wiese,56.0,46.0,83.0,3.0,2.0,121.73,normal player,caught,Wiese,Patel,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,F du Plessis,b Chahal,21.0,22.0,31.0,2.0,0.0,95.45,normal player,bowled,Chahal,no fielder,0,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,SK Raina,c Wiese b Chahal,0.0,2.0,1.0,0.0,0.0,0.0,normal player,caught,Chahal,Wiese,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,MS Dhoni,c †Karthik b Patel,26.0,29.0,55.0,1.0,0.0,89.65,captain & wicket keeper,caught,Patel,†Karthik,1,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,P Negi,run out (Khan),12.0,6.0,13.0,0.0,1.0,200.0,normal player,run out,no bowler,no fielder,0,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,DJ Bravo,b Starc,0.0,1.0,1.0,0.0,0.0,0.0,normal player,bowled,Starc,no fielder,0,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,RA Jadeja,not out,0.0,0.0,5.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2015-05-22
Qualifier 2 (N),Royal Challengers Bangalore,Chennai Super Kings,R Ashwin,not out,1.0,1.0,1.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2015-05-22
Final (N),Mumbai Indians,Chennai Super Kings,LMP Simmons,b Smith,68.0,45.0,59.0,8.0,3.0,151.11,normal player,bowled,Smith,no fielder,0,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,PA Patel,run out (du Plessis),0.0,3.0,5.0,0.0,0.0,0.0,wicket keeper,run out,no bowler,no fielder,0,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,RG Sharma,c Jadeja b Bravo,50.0,26.0,50.0,6.0,2.0,192.3,captain,caught,Bravo,Jadeja,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,KA Pollard,c Raina b Sharma,36.0,18.0,39.0,2.0,3.0,200.0,normal player,caught,Sharma,Raina,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,AT Rayudu,not out,36.0,24.0,44.0,0.0,3.0,150.0,normal player,not out,no bowler,no fielder,0,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,HH Pandya,c Raina b Bravo,0.0,2.0,2.0,0.0,0.0,0.0,normal player,caught,Bravo,Raina,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,Harbhajan Singh,not out,6.0,3.0,4.0,0.0,1.0,200.0,normal player,not out,no bowler,no fielder,0,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,DR Smith,lbw b Harbhajan Singh,57.0,48.0,59.0,9.0,1.0,118.75,normal player,lbw,Harbhajan Singh,no fielder,0,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,MEK Hussey,c Suchith b McClenaghan,4.0,9.0,25.0,1.0,0.0,44.44,normal player,caught,McClenaghan,Suchith,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,SK Raina,st †Patel b Harbhajan Singh,28.0,19.0,44.0,3.0,1.0,147.36,normal player,stumped,Harbhajan Singh,†Patel,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,MS Dhoni,b Malinga,18.0,13.0,25.0,1.0,1.0,138.46,captain & wicket keeper,bowled,Malinga,no fielder,0,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,DJ Bravo,c Simmons b McClenaghan,9.0,6.0,5.0,0.0,1.0,150.0,normal player,caught,McClenaghan,Simmons,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,P Negi,c Pandya b Malinga,3.0,5.0,18.0,0.0,0.0,60.0,normal player,caught,Malinga,Pandya,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,F du Plessis,c Sharma b Vinay Kumar,1.0,3.0,3.0,0.0,0.0,33.33,normal player,caught,Vinay Kumar,Sharma,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,RA Jadeja,not out,11.0,8.0,18.0,1.0,0.0,137.5,normal player,not out,no bowler,no fielder,0,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,R Ashwin,c Suchith b McClenaghan,2.0,4.0,4.0,0.0,0.0,50.0,normal player,caught,McClenaghan,Suchith,1,2015-05-24
Final (N),Mumbai Indians,Chennai Super Kings,MM Sharma,not out,21.0,7.0,7.0,1.0,2.0,300.0,normal player,not out,no bowler,no fielder,0,2015-05-24
1,Mumbai Indians,Rising Pune Supergiants,LMP Simmons,b Sharma,8.0,8.0,19.0,0.0,1.0,100.0,normal player,bowled,Sharma,no fielder,0,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,RG Sharma,lbw b Sharma,7.0,5.0,6.0,1.0,0.0,140.0,captain,lbw,Sharma,no fielder,0,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,HH Pandya,c †Dhoni b Marsh,9.0,11.0,15.0,2.0,0.0,81.81,normal player,caught,Marsh,†Dhoni,1,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,JC Buttler,c R Ashwin b Marsh,0.0,2.0,6.0,0.0,0.0,0.0,wicket keeper,caught,Marsh,R Ashwin,1,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,AT Rayudu,c du Plessis b R Ashwin,22.0,27.0,50.0,2.0,0.0,81.48,normal player,caught,R Ashwin,du Plessis,1,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,KA Pollard,lbw b Bhatia,1.0,8.0,12.0,0.0,0.0,12.5,normal player,lbw,Bhatia,no fielder,0,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,S Gopal,c Rahane b M Ashwin,2.0,16.0,16.0,0.0,0.0,12.5,normal player,caught,M Ashwin,Rahane,1,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,Harbhajan Singh,not out,45.0,30.0,42.0,7.0,1.0,150.0,normal player,not out,no bowler,no fielder,0,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,R Vinay Kumar,c Smith b Singh,12.0,11.0,18.0,0.0,1.0,109.09,normal player,caught,Singh,Smith,1,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,MJ McClenaghan,not out,2.0,2.0,6.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,AM Rahane,not out,66.0,42.0,65.0,7.0,3.0,157.14,normal player,not out,no bowler,no fielder,0,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,F du Plessis,b Harbhajan Singh,34.0,33.0,46.0,1.0,3.0,103.03,normal player,bowled,Harbhajan Singh,no fielder,0,2016-04-09
1,Mumbai Indians,Rising Pune Supergiants,KP Pietersen,not out,21.0,14.0,18.0,0.0,2.0,150.0,normal player,not out,no bowler,no fielder,0,2016-04-09
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,MA Agarwal,c Hogg b Russell,9.0,11.0,22.0,1.0,0.0,81.81,normal player,caught,Russell,Hogg,1,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,Q de Kock,c Pathan b Russell,17.0,10.0,10.0,1.0,1.0,170.0,wicket keeper,caught,Russell,Pathan,1,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,SS Iyer,lbw b Russell,0.0,3.0,2.0,0.0,0.0,0.0,normal player,lbw,Russell,no fielder,0,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,KK Nair,c Pandey b Hastings,3.0,8.0,13.0,0.0,0.0,37.5,normal player,caught,Hastings,Pandey,1,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,SV Samson,c †Uthappa b Hogg,15.0,13.0,41.0,2.0,0.0,115.38,normal player,caught,Hogg,†Uthappa,1,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,P Negi,st †Uthappa b Hogg,11.0,19.0,21.0,0.0,1.0,57.89,normal player,stumped,Hogg,†Uthappa,1,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,CR Brathwaite,lbw b Chawla,6.0,4.0,3.0,0.0,1.0,150.0,normal player,lbw,Chawla,no fielder,0,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,CH Morris,b Chawla,11.0,9.0,7.0,2.0,0.0,122.22,normal player,bowled,Chawla,no fielder,0,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,NM Coulter-Nile,not out,7.0,11.0,22.0,1.0,0.0,63.63,normal player,not out,no bowler,no fielder,0,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,A Mishra,c Gambhir b Hogg,3.0,9.0,8.0,0.0,0.0,33.33,normal player,caught,Hogg,Gambhir,1,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,Z Khan,c Pandey b Hastings,4.0,9.0,10.0,1.0,0.0,44.44,captain,caught,Hastings,Pandey,1,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,RV Uthappa,c Morris b Mishra,35.0,33.0,45.0,7.0,0.0,106.06,wicket keeper,caught,Mishra,Morris,1,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,G Gambhir,not out,38.0,41.0,69.0,5.0,0.0,92.68,captain,not out,no bowler,no fielder,0,2016-04-10
2nd match (N),Delhi Daredevils,Kolkata Knight Riders,MK Pandey,not out,15.0,12.0,23.0,3.0,0.0,125.0,normal player,not out,no bowler,no fielder,0,2016-04-10
3rd match (N),Kings XI Punjab,Gujarat Lions,M Vijay,b Jadeja,42.0,34.0,48.0,5.0,1.0,123.52,normal player,bowled,Jadeja,no fielder,0,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,M Vohra,c †Karthik b Jadeja,38.0,23.0,36.0,4.0,2.0,165.21,normal player,caught,Jadeja,†Karthik,1,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,DA Miller,b Bravo,15.0,10.0,22.0,1.0,1.0,150.0,captain,bowled,Bravo,no fielder,0,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,GJ Maxwell,b Bravo,2.0,4.0,6.0,0.0,0.0,50.0,normal player,bowled,Bravo,no fielder,0,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,WP Saha,c Jadeja b Bravo,20.0,25.0,41.0,0.0,0.0,80.0,wicket keeper,caught,Bravo,Jadeja,1,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,MP Stoinis,c Finch b Bravo,33.0,22.0,39.0,4.0,0.0,150.0,normal player,caught,Bravo,Finch,1,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,AR Patel,not out,4.0,2.0,3.0,0.0,0.0,200.0,normal player,not out,no bowler,no fielder,0,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,MG Johnson,not out,0.0,0.0,1.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,AJ Finch,st †Saha b Sahu,74.0,47.0,58.0,12.0,0.0,157.44,normal player,stumped,Sahu,†Saha,1,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,BB McCullum,st †Saha b Sandeep Sharma,0.0,2.0,5.0,0.0,0.0,0.0,normal player,stumped,Sandeep Sharma,†Saha,1,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,SK Raina,c Johnson b Stoinis,20.0,9.0,23.0,1.0,2.0,222.22,captain,caught,Stoinis,Johnson,1,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,KD Karthik,not out,41.0,26.0,62.0,7.0,0.0,157.69,wicket keeper,not out,no bowler,no fielder,0,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,RA Jadeja,run out (Johnson),8.0,12.0,16.0,0.0,0.0,66.66,normal player,run out,no bowler,no fielder,0,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,Ishan Kishan,c Sharma b Johnson,11.0,8.0,10.0,2.0,0.0,137.5,normal player,caught,Johnson,Sharma,1,2016-04-11
3rd match (N),Kings XI Punjab,Gujarat Lions,DJ Bravo,not out,2.0,2.0,5.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2016-04-11
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,CH Gayle,b Kumar,1.0,4.0,6.0,0.0,0.0,25.0,normal player,bowled,Kumar,no fielder,0,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,V Kohli,b Kumar,75.0,51.0,73.0,7.0,3.0,147.05,captain,bowled,Kumar,no fielder,0,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,AB de Villiers,c Morgan b Mustafizur Rahman,82.0,42.0,75.0,7.0,6.0,195.23,normal player,caught,Mustafizur Rahman,Morgan,1,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,c †Ojha b Mustafizur Rahman,19.0,8.0,10.0,0.0,3.0,237.5,normal player,caught,Mustafizur Rahman,†Ojha,1,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,SN Khan,not out,35.0,10.0,15.0,5.0,2.0,350.0,normal player,not out,no bowler,no fielder,0,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,KM Jadhav,not out,8.0,6.0,13.0,1.0,0.0,133.33,wicket keeper,not out,no bowler,no fielder,0,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,DA Warner,c Milne b Watson,58.0,25.0,43.0,4.0,5.0,232.0,captain,caught,Watson,Milne,1,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,S Dhawan,b Parvez Rasool,8.0,9.0,15.0,1.0,0.0,88.88,normal player,bowled,Parvez Rasool,no fielder,0,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,MC Henriques,c Parvez Rasool b Milne,19.0,23.0,38.0,2.0,0.0,82.6,normal player,caught,Milne,Parvez Rasool,1,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,NV Ojha,c de Villiers b Chahal,0.0,4.0,5.0,0.0,0.0,0.0,wicket keeper,caught,Chahal,de Villiers,1,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,DJ Hooda,c de Villiers b Chahal,6.0,6.0,10.0,1.0,0.0,100.0,normal player,caught,Chahal,de Villiers,1,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,EJG Morgan,not out,22.0,18.0,47.0,2.0,0.0,122.22,normal player,not out,no bowler,no fielder,0,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,A Ashish Reddy,b Watson,32.0,18.0,18.0,2.0,3.0,177.77,normal player,bowled,Watson,no fielder,0,2016-04-12
4th match (N),Royal Challengers Bangalore,Sunrisers Hyderabad,KV Sharma,not out,26.0,17.0,22.0,3.0,1.0,152.94,normal player,not out,no bowler,no fielder,0,2016-04-12
5th match (N),Kolkata Knight Riders,Mumbai Indians,RV Uthappa,c Pollard b McClenaghan,8.0,10.0,17.0,1.0,0.0,80.0,wicket keeper,caught,McClenaghan,Pollard,1,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,G Gambhir,c †Patel b Pandya,64.0,52.0,94.0,4.0,1.0,123.07,captain,caught,Pandya,†Patel,1,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,MK Pandey,c & b Harbhajan Singh,52.0,29.0,54.0,3.0,3.0,179.31,normal player,caught,Harbhajan Singh,Harbhajan Singh,1,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,AD Russell,b McClenaghan,36.0,17.0,16.0,1.0,4.0,211.76,normal player,bowled,McClenaghan,no fielder,0,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,YK Pathan,not out,9.0,6.0,13.0,1.0,0.0,150.0,normal player,not out,no bowler,no fielder,0,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,C Munro,run out (Southee/†Patel),4.0,5.0,6.0,0.0,0.0,80.0,normal player,run out,no bowler,no fielder,0,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,SA Yadav,not out,4.0,1.0,1.0,1.0,0.0,400.0,normal player,not out,no bowler,no fielder,0,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,RG Sharma,not out,84.0,54.0,93.0,10.0,2.0,155.55,captain,not out,no bowler,no fielder,0,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,PA Patel,run out (Hogg/†Uthappa),23.0,20.0,27.0,4.0,0.0,115.0,wicket keeper,run out,no bowler,no fielder,0,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,HH Pandya,c Pandey b Chawla,9.0,10.0,19.0,0.0,0.0,90.0,normal player,caught,Chawla,Pandey,1,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,MJ McClenaghan,c Munro b Kuldeep Yadav,20.0,8.0,9.0,0.0,3.0,250.0,normal player,caught,Kuldeep Yadav,Munro,1,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,JC Buttler,c Yadav b Russell,41.0,22.0,31.0,3.0,3.0,186.36,normal player,caught,Russell,Yadav,1,2016-04-13
5th match (N),Kolkata Knight Riders,Mumbai Indians,KA Pollard,not out,1.0,1.0,3.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2016-04-13
6th match (N),Rising Pune Supergiants,Gujarat Lions,AM Rahane,lbw b Tambe,21.0,17.0,15.0,4.0,0.0,123.52,normal player,lbw,Tambe,no fielder,0,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,F du Plessis,st †Karthik b Tambe,69.0,43.0,70.0,5.0,4.0,160.46,normal player,stumped,Tambe,†Karthik,1,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,KP Pietersen,b Bravo,37.0,31.0,46.0,2.0,1.0,119.35,normal player,bowled,Bravo,no fielder,0,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,SPD Smith,c Faulkner b Jadeja,5.0,6.0,11.0,0.0,0.0,83.33,normal player,caught,Jadeja,Faulkner,1,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,MS Dhoni,not out,22.0,10.0,19.0,2.0,1.0,220.0,captain & wicket keeper,not out,no bowler,no fielder,0,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,MR Marsh,b Jadeja,7.0,11.0,7.0,0.0,0.0,63.63,normal player,bowled,Jadeja,no fielder,0,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,R Bhatia,not out,0.0,2.0,7.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,AJ Finch,c Sharma b M Ashwin,50.0,36.0,39.0,7.0,2.0,138.88,normal player,caught,M Ashwin,Sharma,1,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,BB McCullum,c du Plessis b Sharma,49.0,31.0,58.0,3.0,3.0,158.06,normal player,caught,Sharma,du Plessis,1,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,SK Raina,st †Dhoni b M Ashwin,24.0,24.0,35.0,1.0,0.0,100.0,captain,stumped,M Ashwin,†Dhoni,1,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,DJ Bravo,not out,22.0,10.0,26.0,3.0,1.0,220.0,normal player,not out,no bowler,no fielder,0,2016-04-14
6th match (N),Rising Pune Supergiants,Gujarat Lions,RA Jadeja,not out,4.0,8.0,9.0,0.0,0.0,50.0,normal player,not out,no bowler,no fielder,0,2016-04-14
7th match (N),Kings XI Punjab,Delhi Daredevils,M Vijay,run out (Khan/Nair/†de Kock),1.0,5.0,8.0,0.0,0.0,20.0,normal player,run out,no bowler,no fielder,0,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,M Vohra,b Mishra,32.0,24.0,52.0,5.0,0.0,133.33,normal player,bowled,Mishra,no fielder,0,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,SE Marsh,st †de Kock b Mishra,13.0,16.0,19.0,2.0,0.0,81.25,normal player,stumped,Mishra,†de Kock,1,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,DA Miller,lbw b Mishra,9.0,9.0,10.0,1.0,0.0,100.0,captain,lbw,Mishra,no fielder,0,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,GJ Maxwell,c Brathwaite b Mishra,0.0,3.0,3.0,0.0,0.0,0.0,normal player,caught,Mishra,Brathwaite,1,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,AR Patel,c Negi b Yadav,11.0,22.0,28.0,1.0,0.0,50.0,normal player,caught,Yadav,Negi,1,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,WP Saha,run out (Duminy),3.0,7.0,8.0,0.0,0.0,42.85,wicket keeper,run out,no bowler,no fielder,0,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,MG Johnson,b Morris,4.0,12.0,28.0,0.0,0.0,33.33,normal player,bowled,Morris,no fielder,0,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,MM Sharma,c Morris b Khan,15.0,8.0,10.0,1.0,1.0,187.5,normal player,caught,Khan,Morris,1,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,P Sahu,not out,18.0,12.0,12.0,1.0,1.0,150.0,normal player,not out,no bowler,no fielder,0,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,Sandeep Sharma,not out,1.0,2.0,5.0,0.0,0.0,50.0,normal player,not out,no bowler,no fielder,0,2016-04-15
7th match (N),Kings XI Punjab,Delhi Daredevils,Q de Kock,not out,59.0,42.0,65.0,9.0,1.0,140.47,wicket keeper,not out,no bowler,no fielder,0,2016-04-15
