,batsmen,R,B,M,fours,sixes,SR,boundary_contribution,100s,50s,times_played,average
472,TG Southee,115.0,90.0,65.0,8.0,4.0,1534.74,0.9096825396825396,0.0,0.0,14,8.214285714285714
473,TK Curran,23.0,28.0,0.0,3.0,0.0,245.87,0.16666666666666666,0.0,0.0,4,5.75
474,TL Suman,676.0,575.0,128.0,55.0,26.0,3951.5299999999997,4.275522788296728,0.0,2.0,40,16.9
475,TM Dilshan,1153.0,1007.0,723.0,140.0,24.0,4783.86,5.3227047562347884,0.0,9.0,50,23.06
476,TM Head,205.0,148.0,306.0,12.0,8.0,1081.3899999999999,0.589017199017199,0.0,1.0,10,20.5
477,TM Srivastava,8.0,11.0,0.0,0.0,0.0,177.76999999999998,0.0,0.0,0.0,3,2.6666666666666665
478,TP Sudhindra,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
479,TR Birt,75.0,58.0,0.0,9.0,2.0,602.01,0.5226851851851851,0.0,0.0,5,15.0
480,TS Mills,8.0,11.0,19.0,0.0,1.0,240.0,0.16666666666666666,0.0,0.0,3,2.6666666666666665
481,U Kaul,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
482,UA Birla,7.0,14.0,17.0,1.0,0.0,50.0,0.14285714285714285,0.0,0.0,1,7.0
483,UBT Chand,300.0,300.0,471.0,32.0,9.0,1583.86,1.9382740241397443,0.0,1.0,20,15.0
484,UT Khawaja,127.0,100.0,161.0,14.0,3.0,888.3799999999999,0.889368307131465,0.0,0.0,6,21.166666666666668
485,UT Yadav,122.0,126.0,178.0,11.0,4.0,3089.26,1.6162698412698413,0.0,0.0,37,3.2972972972972974
486,Umar Gul,39.0,19.0,0.0,1.0,5.0,793.1800000000001,0.47619047619047616,0.0,0.0,4,9.75
487,V Kohli,5412.0,4112.0,4225.0,480.0,190.0,20030.769999999986,18.559621527681205,5.0,36.0,169,32.023668639053255
488,V Pratap Singh,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
489,V Sehwag,2728.0,1755.0,1500.0,334.0,106.0,13892.99,14.245658876034076,2.0,16.0,104,26.23076923076923
490,V Shankar,557.0,416.0,404.0,34.0,24.0,3577.88,2.0943695719052586,0.0,2.0,29,19.20689655172414
491,VH Zol,29.0,26.0,45.0,3.0,1.0,222.61,0.2644230769230769,0.0,0.0,2,14.5
492,VR Aaron,49.0,62.0,92.0,2.0,2.0,738.22,0.42717086834733886,0.0,0.0,11,4.454545454545454
493,VRV Singh,4.0,3.0,2.0,1.0,0.0,200.0,0.25,0.0,0.0,2,2.0
494,VS Malik,7.0,7.0,14.0,1.0,0.0,170.0,0.16666666666666666,0.0,0.0,2,3.5
495,VS Yeligati,2.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1,2.0
496,VVS Laxman,282.0,267.0,0.0,33.0,5.0,1585.3200000000002,1.7297252672252672,0.0,1.0,20,14.1
497,VY Mahesh,15.0,27.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,5,3.0
498,Vishnu Vinod,19.0,26.0,45.0,1.0,1.0,271.65999999999997,0.25396825396825395,0.0,0.0,3,6.333333333333333
499,W Jaffer,130.0,121.0,0.0,14.0,3.0,695.41,0.8442207792207792,0.0,1.0,8,16.25
500,WA Mota,56.0,75.0,0.0,2.0,0.0,574.77,0.08,0.0,0.0,8,7.0
501,WD Parnell,63.0,75.0,54.0,4.0,1.0,953.6,0.45542929292929296,0.0,0.0,13,4.846153846153846
502,WP Saha,1765.0,1346.0,1668.0,160.0,59.0,11324.72,8.980713727237797,1.0,6.0,95,18.57894736842105
503,WPUJC Vaas,81.0,73.0,0.0,2.0,3.0,1021.52,0.35833333333333334,0.0,0.0,11,7.363636363636363
504,Washington Sundar,75.0,53.0,33.0,5.0,4.0,1238.36,0.6332112332112332,0.0,0.0,13,5.769230769230769
505,X Thalaivan Sargunam,10.0,17.0,28.0,0.0,0.0,58.82,0.0,0.0,0.0,1,10.0
506,Y Gnaneswara Rao,19.0,17.0,0.0,3.0,0.0,111.76,0.15789473684210525,0.0,0.0,1,19.0
507,Y Nagar,285.0,259.0,204.0,20.0,9.0,2041.83,1.6965319535113585,0.0,0.0,20,14.25
508,Y Prithvi Raj,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
509,Y Venugopal Rao,985.0,836.0,247.0,77.0,37.0,5600.710000000001,4.446524264570823,0.0,3.0,54,18.24074074074074
510,YA Abdulla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
511,YK Pathan,3204.0,2241.0,2003.0,262.0,158.0,19226.199999999997,15.03003874508379,1.0,13.0,154,20.805194805194805
512,YS Chahal,21.0,48.0,49.0,0.0,0.0,653.95,0.0,0.0,0.0,14,1.5
513,YV Takawale,192.0,178.0,115.0,26.0,3.0,1015.79,1.0802353104984683,0.0,0.0,10,19.2
514,Yashpal Singh,47.0,66.0,13.0,5.0,0.0,306.11,0.3038461538461539,0.0,0.0,4,11.75
515,Younis Khan,3.0,7.0,17.0,0.0,0.0,42.85,0.0,0.0,0.0,1,3.0
516,Yuvraj Singh,2750.0,2120.0,1663.0,217.0,149.0,14499.229999999998,13.222502441253079,0.0,13.0,126,21.825396825396826
517,Z Khan,117.0,141.0,84.0,11.0,2.0,2118.8899999999994,1.2455644313061192,0.0,0.0,32,3.65625
